,id,name,symbol,slug,Market Pairs,Date Added,Max Supply,circulating_supply,Total Supply,Infinity Supply,CMC Rank,Last Updated,Price USD,Volume 24H(USD),Volumn change 24H(USD),Price change % 1H,Price change % 24H,Price change % 7D,Price change % 30D,Price change % 60D,Price change % 90D,Market capitalization USD,Market capitalization dominance %,Last market updated,Date
0,1,Bitcoin,BTC,bitcoin,10327,2010-07-13T00:00:00.000Z,21000000.0,19425118.0,19425118.0,False,1,2023-07-09T22:21:00.000Z,30123.65828485034,7793244414.218424,3.9443,-0.13040217,-0.19999891,-1.62679157,13.80917288,9.43481213,1.93818274,585155616774.8954,49.8387,2023-07-09T22:21:00.000Z,2023-07-09
1,1027,Ethereum,ETH,ethereum,7099,2015-08-07T00:00:00.000Z,,120208689.74529468,120208689.74529468,True,2,2023-07-09T22:21:00.000Z,1861.752390066203,4347212908.124407,1.4985,-0.33935398,0.23026789,-3.7502499,1.40236001,1.35337519,-2.19219845,223798815440.02902,19.0613,2023-07-09T22:21:00.000Z,2023-07-09
2,825,Tether,USDT,tether,56559,2015-02-25T00:00:00.000Z,,83360717904.11366,85730981418.02776,True,3,2023-07-09T22:20:00.000Z,1.0002373246936986,13147243410.660198,-2.3179,-0.00835001,-0.0009755,-0.00417631,0.02476904,-0.04877515,-0.04442678,83380501460.95676,7.1086,2023-07-09T22:20:00.000Z,2023-07-09
3,1839,BNB,BNB,bnb,1491,2017-07-25T00:00:00.000Z,,155849834.9648376,155849834.9648376,False,4,2023-07-09T22:21:00.000Z,234.04441052538118,287577878.9202731,-9.5949,-0.16673519,-0.72347474,-4.89958827,-10.52616568,-25.54694177,-25.58217608,36475782754.82336,3.1095,2023-07-09T22:21:00.000Z,2023-07-09
4,3408,USD Coin,USDC,usd-coin,13242,2018-10-08T00:00:00.000Z,,27499720419.5754,27499720419.5754,False,5,2023-07-09T22:20:00.000Z,0.9999768424204605,1745005439.844645,-9.7331,-0.01002852,-0.02053013,-0.01972263,-0.00289381,-0.00014584,0.00426827,27499083592.61247,2.3444,2023-07-09T22:20:00.000Z,2023-07-09
5,52,XRP,XRP,xrp,978,2013-08-04T00:00:00.000Z,100000000000.0,52254289650.0,99988655562.0,False,6,2023-07-09T22:21:00.000Z,0.46876640355734744,324453955.16718835,-22.1235,-0.15147088,-0.11782574,-3.40643687,-12.80792018,9.04949507,-8.98812829,24495055429.674423,2.0883,2023-07-09T22:21:00.000Z,2023-07-09
6,2010,Cardano,ADA,cardano,857,2017-10-01T00:00:00.000Z,45000000000.0,34966190615.316,35952377800.235,False,7,2023-07-09T22:20:00.000Z,0.28418932897407445,183957084.37103537,-10.6883,-0.08061399,-1.53322627,-2.17456639,-5.2399323,-22.84113939,-28.3657257,9937018247.746235,0.8472,2023-07-09T22:20:00.000Z,2023-07-09
7,74,Dogecoin,DOGE,dogecoin,739,2013-12-15T00:00:00.000Z,,140107106383.70526,140107106383.70526,True,8,2023-07-09T22:21:00.000Z,0.06549984095353371,149048717.18832526,3.1097,0.00176453,-0.11013563,-3.82293064,-5.40628688,-10.3591031,-22.56885055,9176993184.592524,0.7823,2023-07-09T22:21:00.000Z,2023-07-09
8,5426,Solana,SOL,solana,483,2020-04-10T00:00:00.000Z,,402488913.10822636,552084555.5321044,True,9,2023-07-09T22:20:00.000Z,21.15375882125429,398165936.10233027,-43.912,-0.14231178,-3.04872466,8.56027809,20.6309315,1.05693546,1.53186663,8514153396.120194,0.7259,2023-07-09T22:20:00.000Z,2023-07-09
9,2,Litecoin,LTC,litecoin,941,2013-04-28T00:00:00.000Z,84000000.0,73325551.72743528,84000000.0,False,10,2023-07-09T22:21:00.000Z,95.82313841655396,376633741.9417678,-12.3926,-0.39321586,-1.83882429,-15.06565919,7.48301584,18.13085753,2.91709774,7026284492.648218,0.599,2023-07-09T22:21:00.000Z,2023-07-09
